Label,Address,Register Type,Data Type,Unit
Server_Room_Humidity,314,Holding,w,%
Rack_Temp_1,315,Holding,w,C
Rack_Temp_2,316,Holding,w,C
Rack_Temp_3,317,Holding,w,C
Rack_Power_1,318,Holding,w,W
Rack_Power_2,319,Holding,w,W
Rack_Power_3,320,Holding,w,W
Network_Switch_Temp,321,Holding,w,C
Firewall_CPU,322,Holding,w,%
Firewall_Mem,323,Holding,w,%
Access_Control_1,324,Holding,w,
Access_Control_2,325,Holding,w,
CCTV_Status,326,Holding,w,
Fire_Panel_Zone_1,327,Holding,w,
Fire_Panel_Zone_2,328,Holding,w,
Fire_Panel_Zone_3,329,Holding,w,
Smoke_Detector_1,330,Holding,w,
Smoke_Detector_2,331,Holding,w,
Smoke_Detector_3,332,Holding,w,
Gas_Detector_1,333,Holding,w,ppm
Gas_Detector_2,334,Holding,w,ppm
Gas_Detector_3,335,Holding,w,ppm
Flood_Sensor_1,336,Holding,w,
Flood_Sensor_2,337,Holding,w,
Door_Status_1,338,Holding,w,
Door_Status_2,339,Holding,w,
Door_Status_3,340,Holding,w,
Window_Status_1,341,Holding,w,
Window_Status_2,342,Holding,w,
Motion_Sensor_1,343,Holding,w,
Motion_Sensor_2,344,Holding,w,
Motion_Sensor_3,345,Holding,w,
Lighting_Level_1,346,Holding,w,%
Lighting_Level_2,347,Holding,w,%
Lighting_Level_3,348,Holding,w,%
Lighting_Power_1,349,Holding,w,W
Lighting_Power_2,350,Holding,w,W
Lighting_Power_3,351,Holding,w,W
Elevator_Floor,352,Holding,w,
Elevator_Speed,353,Holding,w,m/s
Elevator_Load,354,Holding,w,kg
Elevator_Temp,355,Holding,w,C
Escalator_Speed,356,Holding,w,m/s
Escalator_Status,357,Holding,w,
Parking_Count_1,358,Holding,w,
Parking_Count_2,359,Holding,w,
Weighbridge_1,360,Holding,w,kg
Weighbridge_2,361,Holding,w,kg
Crane_Load,362,Holding,w,kg
Crane_Height,363,Holding,w,mm
Crane_Speed,364,Holding,w,m/min
Forklift_Battery,365,Holding,w,%
Forklift_Load,366,Holding,w,kg
AGV_Status_1,367,Holding,w,
AGV_Status_2,368,Holding,w,
AGV_Battery_1,369,Holding,w,%
AGV_Battery_2,370,Holding,w,%
Robot_Axis_1,371,Holding,w,deg
Robot_Axis_2,372,Holding,w,deg
Robot_Axis_3,373,Holding,w,deg
Robot_Axis_4,374,Holding,w,deg
Robot_Axis_5,375,Holding,w,deg
Robot_Axis_6,376,Holding,w,deg
Robot_Speed,377,Holding,w,%
Robot_Load,378,Holding,w,kg
CNC_Spindle_Speed,379,Holding,w,RPM
CNC_Feed_Rate,380,Holding,w,mm/m
CNC_Tool_Number,381,Holding,w,
CNC_Part_Count,382,Holding,w,
CNC_Cycle_Time,383,Holding,w,s
Press_Force,384,Holding,w,kN
Press_Position,385,Holding,w,mm
Press_Speed,386,Holding,w,mm/s
Press_Pressure,387,Holding,w,bar
Injection_Temp_1,388,Holding,w,C
Injection_Temp_2,389,Holding,w,C
Injection_Pressure,390,Holding,w,bar
Injection_Speed,391,Holding,w,mm/s
Injection_Time,392,Holding,w,s
Mold_Temp_1,393,Holding,w,C
Mold_Temp_2,394,Holding,w,C
Extruder_Temp_1,395,Holding,w,C
Extruder_Temp_2,396,Holding,w,C
Extruder_Speed,397,Holding,w,RPM
Extruder_Pressure,398,Holding,w,bar
Extruder_Current,399,Holding,w,A
Mixer_Speed_1,400,Holding,w,RPM
Mixer_Speed_2,401,Holding,w,RPM
Mixer_Temp_1,402,Holding,w,C
Mixer_Temp_2,403,Holding,w,C
Mixer_Torque_1,404,Holding,w,Nm
Mixer_Torque_2,405,Holding,w,Nm
Dryer_Temp_1,406,Holding,w,C
Dryer_Temp_2,407,Holding,w,C
Dryer_Humidity,408,Holding,w,%
Dryer_Fan_Speed,409,Holding,w,RPM
Oven_Temp_1,410,Holding,w,C
Oven_Temp_2,411,Holding,w,C
Oven_Temp_3,412,Holding,w,C
Oven_Power,413,Holding,w,kW
Furnace_Temp_1,414,Holding,w,C
Furnace_Temp_2,415,Holding,w,C
Furnace_Pressure,416,Holding,w,Pa
Furnace_Power,417,Holding,w,kW
Autoclave_Temp,418,Holding,w,C
Autoclave_Pressure,419,Holding,w,bar
Autoclave_Time,420,Holding,w,min
Welding_Current,421,Holding,w,A
Welding_Voltage,422,Holding,w,V
Welding_Power,423,Holding,w,kW
Welding_Wire_Speed,424,Holding,w,m/min
Coating_Thickness_1,425,Holding,w,um
Coating_Thickness_2,426,Holding,w,um
Paint_Flow_1,427,Holding,w,mL/m
Paint_Flow_2,428,Holding,w,mL/m
Paint_Pressure_1,429,Holding,w,bar
Paint_Pressure_2,430,Holding,w,bar
Inspection_Camera_1,431,Holding,w,
Inspection_Camera_2,432,Holding,w,
Barcode_Scanner_1,433,Holding,w,
Barcode_Scanner_2,434,Holding,w,
Label_Printer_1,435,Holding,w,
Label_Printer_2,436,Holding,w,
Reject_Count_1,437,Holding,w,
Reject_Count_2,438,Holding,w,
Good_Count_1,439,Holding,w,
Good_Count_2,440,Holding,w,
Production_Rate_1,441,Holding,w,/h
Production_Rate_2,442,Holding,w,/h
Downtime_Count,443,Holding,w,
OEE_Availability,444,Holding,w,%
OEE_Performance,445,Holding,w,%
OEE_Quality,446,Holding,w,%
OEE_Overall,447,Holding,w,%
Scrap_Weight_1,448,Holding,w,kg
Scrap_Weight_2,449,Holding,w,kg
Raw_Material_1,450,Holding,w,kg
Raw_Material_2,451,Holding,w,kg
Raw_Material_3,452,Holding,w,kg
Finished_Goods_1,453,Holding,w,pcs
Finished_Goods_2,454,Holding,w,pcs
WIP_Count_1,455,Holding,w,pcs
WIP_Count_2,456,Holding,w,pcs
Warehouse_Temp_1,457,Holding,w,C
Warehouse_Temp_2,458,Holding,w,C
Warehouse_Humidity_1,459,Holding,w,%
Warehouse_Humidity_2,460,Holding,w,%
Cold_Room_Temp_1,461,Holding,w,C
Cold_Room_Temp_2,462,Holding,w,C
Cold_Room_Humidity,463,Holding,w,%
Freezer_Temp_1,464,Holding,w,C
Freezer_Temp_2,465,Holding,w,C
Refrigerant_Pressure,466,Holding,w,bar
Refrigerant_Temp,467,Holding,w,C
Water_Meter_1,468,Holding,w,m3
Water_Meter_2,469,Holding,w,m3
Water_Pressure_1,470,Holding,w,bar
Water_Pressure_2,471,Holding,w,bar
Steam_Flow_1,472,Holding,w,kg/h
Steam_Flow_2,473,Holding,w,kg/h
Steam_Pressure_1,474,Holding,w,bar
Steam_Pressure_2,475,Holding,w,bar
Steam_Temp_1,476,Holding,w,C
Steam_Temp_2,477,Holding,w,C
Gas_Meter_1,478,Holding,w,m3
Gas_Meter_2,479,Holding,w,m3
Gas_Pressure_1,480,Holding,w,mbar
Gas_Pressure_2,481,Holding,w,mbar
Diesel_Tank_Level,482,Holding,w,L
Diesel_Flow,483,Holding,w,L/h
Oil_Pressure_1,484,Holding,w,bar
Oil_Pressure_2,485,Holding,w,bar
Oil_Temperature_1,486,Holding,w,C
Oil_Temperature_2,487,Holding,w,C
Oil_Flow_1,488,Holding,w,L/m
Oil_Flow_2,489,Holding,w,L/m
Hydraulic_Pressure_1,490,Holding,w,bar
Hydraulic_Pressure_2,491,Holding,w,bar
Hydraulic_Temp_1,492,Holding,w,C
Hydraulic_Temp_2,493,Holding,w,C
Hydraulic_Flow_1,494,Holding,w,L/m
Hydraulic_Flow_2,495,Holding,w,L/m
Pneumatic_Pressure_1,496,Holding,w,bar
Pneumatic_Pressure_2,497,Holding,w,bar
Pneumatic_Flow_1,498,Holding,w,L/m
Pneumatic_Flow_2,499,Holding,w,L/m
System_Status,500,Holding,w,
Alarm_Code,501,Holding,w,
Warning_Code,502,Holding,w,
Fault_Code,503,Holding,w,
Run_Hours,504,Holding,w,h
Start_Count,505,Holding,w,
Stop_Count,506,Holding,w,
Maintenance_Due,507,Holding,w,h
Firmware_Version,508,Holding,w,
Device_Address,509,Holding,w,
Coil_Output_1,0,Coil,b,
Coil_Output_2,1,Coil,b,
Coil_Output_3,2,Coil,b,
Coil_Output_4,3,Coil,b,
Coil_Output_5,4,Coil,b,
Coil_Output_6,5,Coil,b,
Coil_Output_7,6,Coil,b,
Coil_Output_8,7,Coil,b,
Discrete_Input_1,0,Discrete,b,
Discrete_Input_2,1,Discrete,b,
Discrete_Input_3,2,Discrete,b,
Discrete_Input_4,3,Discrete,b,
Discrete_Input_5,4,Discrete,b,
Discrete_Input_6,5,Discrete,b,
Discrete_Input_7,6,Discrete,b,
Discrete_Input_8,7,Discrete,b,
Input_Reg_1,0,Input,w,
Input_Reg_2,1,Input,w,
Input_Reg_3,2,Input,w,
Input_Reg_4,3,Input,w,
Input_Reg_5,4,Input,w,
Input_Reg_6,5,Input,w,
Input_Reg_7,6,Input,w,
Input_Reg_8,7,Input,w,
Input_Reg_9,8,Input,w,
Input_Reg_10,9,Input,w,
